UserID,Question,Answer,Difficulty,Topic
1,What type of animal does Tsunade summon that can split into smaller bodies to heal many allies at once?,Slug,Easy,Naruto
2,Which rogue ninja group hunts the Tailed Beasts to seal them into the Demonic Statue of the Outer Path?,Akatsuki,Easy,Naruto
3,Which Hokage founded the Hidden Leaf Village alongside Madara Uchiha and became famous for Wood Release?,Hashirama Senju,Easy,Naruto
4,What living sword wielded by Kisame Hoshigaki feeds on chakra and can choose its wielder?,Samehada,Easy,Naruto
5,Who was hidden behind the orange mask of the Akatsuki member who acted like a fool named Tobi?,Obito Uchiha,Easy,Naruto
6,Which Tailed Beast was extracted from Gaara during the Sand Village rescue mission?,Shukaku,Easy,Naruto
7,Which opponent did Shikamaru trap during the final round of the Chunin Exams before forfeiting?,Temari,Easy,Naruto
8,At what sacred place did both Jiraiya and Naruto train in toad senjutsu?,Mount Myoboku,Easy,Naruto
9,Which young Leaf ninja idolizes Naruto and wants to surpass him as a future Hokage?,Konohamaru Sarutobi,Easy,Naruto
10,Which small pug summoned by Kakashi helps track targets by scent?,Pakkun,Easy,Naruto
11,Which technique lets Shikamaru force an enemy to copy his movements using his shadow?,Shadow Possession Jutsu,Easy,Naruto
12,What marked three-pronged kunai does Minato use with his teleportation technique?,Flying Raijin kunai,Easy,Naruto
13,Which cursed power does Orochimaru place on Sasuke during the Forest of Death?,Cursed Seal of Heaven,Easy,Naruto
14,What title does Gaara hold as leader of the Hidden Sand Village?,Kazekage,Easy,Naruto
15,What red chakra cloak appears around Naruto when the Nine-Tails' power leaks out?,Nine-Tails chakra cloak,Easy,Naruto
16,What test does Kakashi use to make Team 7 prove they can work together?,Bell test,Easy,Naruto
17,Which weapon does Temari use to create massive wind attacks?,Giant folding fan,Easy,Naruto
18,Which Akatsuki member turns people into puppets and hides inside the puppet Hiruko?,Sasori,Easy,Naruto
19,Which technique does Naruto learn from Jiraiya by training with a water balloon and a rubber ball?,Rasengan,Easy,Naruto
20,Which village was Zabuza Momochi from before becoming a rogue ninja?,Hidden Mist Village,Easy,Naruto
21,Which bridge is named after Naruto after Team 7 protects Tazuna from Gato's forces?,Great Naruto Bridge,Easy,Naruto
22,Which clan targets chakra points using the Gentle Fist fighting style?,Hyuga clan,Easy,Naruto
23,What animals does Kakashi summon as a pack to track and restrain enemies?,Ninja dogs,Easy,Naruto
24,Which massive toad does Naruto summon during his battle against Gaara and Shukaku?,Gamabunta,Easy,Naruto
25,Which giant slug is summoned by both Tsunade and Sakura?,Katsuyu,Easy,Naruto
26,Who officially becomes the Sixth Hokage after the Fourth Great Ninja War?,Kakashi Hatake,Easy,Naruto
27,Which weapon specialist is on Team Guy with Neji and Lee?,Tenten,Easy,Naruto
28,Which plant-like Akatsuki member spies on battles from the shadows?,Zetsu,Easy,Naruto
29,Which village does Killer B belong to?,Hidden Cloud Village,Easy,Naruto
30,What technique does Naruto create by adding Wind Release to the Rasengan?,Wind Release: Rasenshuriken,Easy,Naruto
31,What valley has statues of Hashirama and Madara facing each other?,Valley of the End,Easy,Naruto
32,Which former Hidden Mist ninja is known as the Demon of the Hidden Mist?,Zabuza Momochi,Easy,Naruto
